those are checkers , DET AUX NOUN
Jack and Jill , PROPN CCONJ PROPN
get over Mommy , VERB ADP PROPN
do not Adam foot , AUX PART PROPN NOUN
it sounded like , PRON VERB ADP
ups_a_daisy you dropped your shoe , ADV PRON VERB PRON NOUN
all the children are sitting in their xxx , DET DET NOUN AUX VERB ADP PRON NOUN
that is tape , DET AUX NOUN
that is a screw , DET AUX DET NOUN
I like it , PRON VERB PRON
the deer looks like Bambi , DET NOUN VERB ADP PROPN
we leave this down here , PRON VERB DET ADP ADV
so it will be out_of the way , ADV PRON AUX VERB PUNCT DET NOUN
that is not a screw , DET AUX PART DET NOUN
that is just part of the machine , DET AUX ADV NOUN ADP DET NOUN
that is a terribly small horse for you to ride , DET AUX DET ADV ADJ NOUN ADP PRON PART VERB
that is his name , DET AUX PRON NOUN
Mr Bear is dancing , PROPN PROPN AUX VERB
he is dancing , PRON AUX VERB
do not you touch then , AUX PART PRON VERB ADV
Mr Bear is dancing , PROPN PROPN AUX VERB
I just read them , PRON ADV VERB PRON
now you take them over to Ursula , ADV PRON VERB PRON ADP ADP PROPN
I need one , PRON VERB NUM
they are Ursula books , PRON AUX PROPN NOUN
I need one , PRON VERB NUM
you dropped a book , PRON VERB DET NOUN
not in your mouth , PART ADP PRON NOUN
she needs her books , PRON VERB PRON NOUN
let me put them together , VERB PRON VERB PRON ADV
do not touch , AUX PART VERB
you will have_to pick them up , PRON AUX PROPN VERB PRON ADP
one two three , NUM NUM NUM
there is a shell on the end , PRON AUX DET NOUN ADP DET NOUN
there we go , ADV PRON VERB
mhm piece of paper , INTJ NOUN ADP NOUN
if you want it to , SCONJ PRON VERB PRON PART
he is checking his watch , PRON AUX VERB PRON NOUN
Saggy Baggy Elephant , PROPN PROPN PROPN
that is not Daddy that is Colin , DET AUX PART NOUN DET VERB PROPN
I am afraid you might get stuck , PRON AUX ADJ PRON AUX VERB ADJ
go and ask Ursula about that , VERB CCONJ VERB PROPN ADP DET
I think perhaps he is going back to school , PRON VERB ADV PRON AUX VERB ADV ADP NOUN
I do not know , PRON AUX PART VERB
that is the hole you blow into , DET AUX DET NOUN PRON VERB ADP
not on the window sill Adam , PART ADP DET NOUN NOUN PROPN
that is very pretty , DET AUX ADV ADV
