those are checkers , DET VERB NOUN
jack and jill , NOUN CONJ NOUN
get over mommy , VERB ADP NOUN
do not adam foot , VERB ADV NOUN NOUN
it sounded like , PRON VERB ADP
ups_a_daisy you dropped your shoe , NOUN PRON VERB DET NOUN
all the children are sitting in their xxx , PRT DET NOUN VERB VERB ADP DET NOUN
that is tape , PRON VERB NOUN
that is a screw , PRON VERB DET NOUN
i like it , PRON VERB PRON
the deer looks like bambi , DET NOUN VERB ADP NOUN
we leave this down here , PRON VERB DET PRT ADV
so it will be out_of the way , ADP PRON VERB VERB ADP DET NOUN
that is not a screw , PRON VERB ADV DET NOUN
that is just part of the machine , PRON VERB ADV NOUN ADP DET NOUN
that is a terribly small horse for you to ride , PRON VERB DET ADV ADJ NOUN ADP PRON PRT VERB
that is his name , PRON VERB DET NOUN
mr bear is dancing , NOUN NOUN VERB VERB
he is dancing , PRON VERB VERB
do not you touch then , VERB ADV PRON VERB ADV
mr bear is dancing , NOUN NOUN VERB VERB
i just read them , PRON ADV VERB PRON
now you take them over to ursula , ADV PRON VERB PRON PRT ADP NOUN
i need one , PRON VERB NUM
they are ursula books , PRON VERB NOUN NOUN
i need one , PRON VERB NUM
you dropped a book , PRON VERB DET NOUN
not in your mouth , ADV ADP DET NOUN
she needs her books , PRON VERB DET NOUN
let me put them together , VERB PRON VERB PRON ADV
do not touch , VERB ADV ADJ
you will have_to pick them up , PRON VERB NOUN VERB PRON PRT
one two three , NUM NUM NUM
there is a shell on the end , PRT VERB DET NOUN ADP DET NOUN
there we go , ADV PRON VERB
mhm piece of paper , NOUN NOUN ADP NOUN
if you want it to , ADP PRON VERB PRON PRT
he is checking his watch , PRON VERB VERB DET NOUN
saggy baggy elephant , ADJ NOUN NOUN
that is not daddy that is colin , PRON VERB ADV NOUN PRON VERB NOUN
i am afraid you might get stuck , PRON VERB ADJ PRON VERB VERB VERB
go and ask ursula about that , VERB CONJ VERB NOUN ADP DET
i think perhaps he is going back to school , PRON VERB ADV PRON VERB VERB ADV ADP NOUN
