horse,n
those are checkers,pro:dem cop n
two checkers yes,det:num n co
Jack and Jill,n:prop coord n:prop
get over Mommy,v adv n:prop
oh thank_you,co n
don't Adam foot,mod n:prop n
it sounded like,pro:per part co
alright you read book,co pro:per v n
ups_a_daisy you dropped your shoe,co pro:per v det:poss n
all the children are sitting in their xxx,qn det:art n aux part prep det:poss
that's tape,pro:dem n
no that's tape,co pro:dem n
he ate his dinner on this table last night and he dropped some beans,pro:sub v det:poss n prep pro:dem n adv n coord pro:sub v qn n
that's a screw,pro:dem det:art n
horse,n
Papa bear,n:prop n
yes,co
no,co
I like it,pro:sub v pro:per
the deer looks like Bambi,det:art n cop conj n:prop
we leave this down here,pro:sub v pro:dem adv adv
so it will be out_of the way,co pro:per mod cop prep det:art n
that's not a screw,pro:dem neg det:art n
Mr Bear picked up the nails and carried them back to the woods,n:prop n:prop v prep det:art n coord v pro:obj adv prep det:art n
that's just part of the machine,pro:dem adv n prep det:art n
that's a terribly small horse for you to ride,pro:dem det:art adv adj n prep pro:per inf v
that's his name,pro:dem det:poss n
if he's not careful yes they will stick him,conj pro:sub neg co co pro:sub mod v pro:obj
well that's a screw,co pro:dem det:art n
Mr Bear is dancing,n:prop n:prop aux part
he's dancing,pro:sub part
alright,co
why don't you look at some of the toys in the basket,adv:int mod pro:per v prep qn prep det:art n prep det:art n
don't you touch then,mod pro:per v adv:tem
Mr Bear is dancing,n:prop n:prop aux part
I just read them,pro:sub adv v pro:obj
now you take them over to Ursula,adv pro:per v pro:obj adv prep n:prop
I need one,pro:sub v pro:indef
they're Ursula's books,pro:sub n:prop n
I need one,pro:sub v pro:indef
no I just read them,co pro:sub adv v pro:obj
you dropped a book,pro:per v det:art n
why don't you pick the books up and take them over to Ursula,adv:int mod pro:per v det:art n adv coord v pro:obj adv prep n:prop
no you can't put the ball on the tape recorder,co pro:per mod v det:art n prep det:art n n
oh yes,co co
poor Ursula,adj n:prop
not in your mouth,neg prep det:poss n
oh it's a horn,co pro:per det:art n
she needs her books,pro:sub v det:poss n
let me put them together,v pro:obj v pro:obj adv
don't touch,mod v
no put floor,co v n
you'll have_to pick them up,pro:per mod:aux v pro:obj adv
hole,n
that's what makes it whistle,pro:dem pro:int v pro:per v
pad,n
one two three,det:num det:num det:num
there's a shell on the end,pro:exist det:art n prep det:art n
there we go,adv pro:sub v
no that's a lion,co pro:dem det:art n
mhm piece of paper,co n prep n
if you want it to,conj pro:per v pro:per inf
hungry lion,adj n
no,co
he's checking his watch,pro:sub part det:poss n
no that's his pencil,co pro:dem det:poss n
Saggy Baggy Elephant,n:prop n:prop n:prop
no I'm not going to take a bath now,co pro:sub neg part inf v det:art n adv
hungry lion,adj n
that's not Daddy that's Colin,pro:dem neg n:prop pro:rel n:prop
I'm afraid you might get stuck,pro:sub adj pro:per mod aux part
go and ask Ursula about that,v coord v n:prop prep pro:dem
I think perhaps he's going back to school,pro:sub v adv pro:sub part adv prep n
I don't know,pro:sub mod v
oh thank_you,co n
that's the hole you blow into,pro:dem det:art n pro:per v prep
you're using your right hand this morning,pro:per part det:poss n v pro:dem n
not on the window sill Adam,neg prep det:art n n n:prop
alright,co
doggie,n
that's very pretty,pro:dem adv adv
you write on the paper,pro:per v prep det:art n
lion,n
my paper,det:poss n
doggie,n
you tell me,pro:per v pro:obj
okay,co
you go tell Ursula then,pro:per v v n:prop adv:tem
sitting in Adam's chair,part prep n:prop n
don't knock it over,mod v pro:per adv
no you can't sit on my book,co pro:per mod v prep det:poss n
no it's tape,co pro:per n
I can't see it,pro:sub mod v pro:per
dog,v
good morning,adj n
alright,co
please,co
hurt knee,v n
I thought you were going to tell her,pro:sub v pro:per aux part inf v pro:obj
hurt knee,v n
you have_to take it over there where she is,pro:per mod:aux v pro:per adv adv adv:int pro:sub cop
the other was a cow I think,det:art qn cop det:art n pro:sub v
well come on,co v adv
no,co
that's his pen,pro:dem det:poss n
that's Cathy,pro:dem n:prop
oh maybe so,co adv adv
this is a diesel locomotive,pro:dem cop det:art n n
you didn't hurt yourself with the screwdriver,pro:per mod v pro:refl prep det:art
alright,co
moo cow,v n
for you,conj pro:per
